x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
60.000,25.000,0.104760,0.106765,0.102754,-0.004011,0.004138,0.003589,3,172.90
20.000,25.000,0.041402,0.043051,0.039753,-0.003299,0.008824,0.001430,3,172.90
60.000,25.000,0.075317,0.069152,0.081483,0.012330,0.003071,0.003686,3,172.90
100.000,25.000,0.098130,0.093541,0.102718,0.009177,0.006628,0.001366,3,172.90
100.000,62.500,0.077179,0.066763,0.087594,0.020831,0.004368,0.001643,3,172.90
60.157,59.216,0.095198,0.103212,0.087183,-0.016029,0.000000,0.000000,1,172.90
60.000,60.000,0.098799,0.136024,0.061574,-0.074450,0.000000,0.000000,1,172.90
60.000,60.000,0.120182,0.118850,0.121514,0.002664,0.000000,0.000000,1,172.90
60.000,60.000,0.119573,0.116222,0.122924,0.006702,0.000000,0.000000,1,172.90
60.000,60.000,0.119506,0.112954,0.126058,0.013104,0.000000,0.000000,1,172.90
60.000,60.000,0.119953,0.113561,0.126345,0.012784,0.000000,0.000000,1,172.90
60.000,60.000,0.121701,0.114071,0.129330,0.015259,0.000000,0.000000,1,172.90
60.000,60.000,0.120033,0.114613,0.125453,0.010840,0.000000,0.000000,1,172.90
60.000,60.000,0.127721,0.125294,0.130147,0.004853,0.000000,0.000000,1,172.90
60.000,60.000,0.123931,0.114987,0.132875,0.017888,0.000000,0.000000,1,172.90
60.785,60.000,-0.117105,-0.147800,-0.086410,0.061390,0.000000,0.000000,1,85.16
59.302,59.609,0.065102,0.069997,0.060206,-0.009791,0.000000,0.000000,1,172.90
60.000,60.000,0.128322,0.124025,0.132620,0.008596,0.000000,0.000000,1,172.90
60.000,60.000,0.126220,0.122584,0.129855,0.007271,0.000000,0.000000,1,172.90
60.000,60.000,0.126027,0.122612,0.129442,0.006830,0.000000,0.000000,1,172.90
60.000,60.000,0.123633,0.121648,0.125618,0.003970,0.000000,0.000000,1,172.90
60.000,60.000,0.120250,0.119859,0.120640,0.000781,0.000000,0.000000,1,172.90
60.000,60.000,0.118461,0.118624,0.118298,-0.000326,0.000000,0.000000,1,172.90
