# freq=73.18 accel_per_hz=120.0 speed=0.3000
# win_n=217 step_z=0.00998
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
1.58675,14337.765,567.730,1491.222
1.59673,14370.413,547.279,1580.455
1.60671,14492.676,586.705,1697.187
1.61669,14586.002,523.979,1798.471
1.62667,14704.047,351.598,1813.185
1.63665,14662.593,435.779,1743.087
1.64663,14528.932,544.458,1584.845
1.65660,14613.328,465.035,1691.094
1.66658,14588.071,480.834,1670.184
1.67656,14445.832,529.772,1526.585
1.68654,14458.443,560.999,1602.766
1.69652,14605.149,491.306,1764.032
1.70650,14626.437,419.233,1804.638
1.71648,14550.364,455.112,1656.363
1.72646,14419.639,491.230,1583.207
1.73644,14470.842,509.817,1626.442
1.74642,14506.091,449.340,1677.450
1.75640,14430.213,551.121,1636.422
