# freq=73.00 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=0.12000 reps=1
# x=20.734 y=62.817
# air_amp=686.035 contact_amp=433.974
# note=textured-PEI-side
z,amp,tag,rep
0.27000,294.935,warm,-1
0.27000,659.052,warm,-1
0.27000,752.602,warm,-1
0.27000,731.782,warm,-1
0.27000,760.912,warm,-1
0.27000,903.760,warm,-1
0.27000,880.979,warm,-1
0.27000,696.840,warm,-1
0.27000,741.891,warm,-1
0.27000,898.258,warm,-1
0.27000,728.130,warm,-1
0.27000,566.141,warm,-1
0.27000,696.115,warm,-1
0.27000,788.401,warm,-1
0.27000,694.001,warm,-1
0.25632,647.293,down,0
0.22897,616.430,down,0
0.20162,687.400,down,0
0.17427,727.353,down,0
0.14350,576.509,down,0
0.11615,580.396,down,0
0.08880,824.916,down,0
0.06145,1139.641,down,0
0.03410,1074.585,down,0
0.00675,647.576,down,0
-0.02060,276.713,down,0
-0.04795,467.523,down,0
-0.07530,434.477,down,0
-0.10265,387.709,down,0
-0.13000,449.215,down,0
-0.13000,486.193,contact,0
-0.13000,567.366,contact,0
-0.13000,585.051,contact,0
-0.13000,570.129,contact,0
-0.13000,488.420,contact,0
-0.13000,347.386,contact,0
-0.13000,369.712,contact,0
-0.10949,475.994,up,0
-0.08214,433.974,up,0
-0.05479,370.710,up,0
-0.02744,486.070,up,0
-0.00009,441.646,up,0
0.02726,304.198,up,0
0.05462,447.880,up,0
0.08197,747.282,up,0
0.10932,759.448,up,0
0.13667,799.188,up,0
0.16402,777.573,up,0
0.19137,607.774,up,0
0.21872,701.455,up,0
0.24607,684.757,up,0
0.27000,649.886,air,0
0.27000,695.327,air,0
0.27000,686.035,air,0
0.27000,932.471,air,0
0.27000,954.994,air,0
0.27000,644.727,air,0
0.27000,568.184,air,0
# outcome=confirmed drop=0.3674 thresh=0.2000 step_snr=2.72 via=ratio
