# freq=70.40 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=-0.20000 reps=1
# x=60.785 y=100.000
# air_amp=1795.789 contact_amp=597.913
# note=textured-PEI-side
z,amp,tag,rep
0.60000,34.361,warm,-1
0.60000,33.307,warm,-1
0.60000,119.278,warm,-1
0.60000,700.108,warm,-1
0.60000,1334.237,warm,-1
0.60000,1518.401,warm,-1
0.60000,1479.161,warm,-1
0.60000,1497.142,warm,-1
0.60000,1505.453,warm,-1
0.60000,1456.855,warm,-1
0.60000,1334.800,warm,-1
0.60000,1331.951,warm,-1
0.60000,1513.807,warm,-1
0.60000,1513.396,warm,-1
0.60000,1420.242,warm,-1
0.60000,1335.300,warm,-1
0.60000,1407.050,warm,-1
0.60000,1507.807,warm,-1
0.60000,1370.978,warm,-1
0.60000,1338.100,warm,-1
0.60000,1276.873,warm,-1
0.60000,1485.105,warm,-1
0.60000,1586.795,warm,-1
0.60000,1537.009,warm,-1
0.60000,1660.048,warm,-1
0.60000,1669.432,warm,-1
0.58222,1671.737,down,0
0.56444,1765.746,down,0
0.54667,1572.586,down,0
0.52889,1608.807,down,0
0.51111,1782.008,down,0
0.49333,1781.011,down,0
0.47556,1626.950,down,0
0.45778,1610.434,down,0
0.44000,1674.366,down,0
0.42222,1633.617,down,0
0.40444,1753.162,down,0
0.38667,1691.156,down,0
0.36889,1878.729,down,0
0.35111,1833.841,down,0
0.33333,1864.627,down,0
0.31556,1737.729,down,0
0.29778,1532.314,down,0
0.28000,1801.867,down,0
0.26222,1777.631,down,0
0.24444,1833.570,down,0
0.22667,1802.960,down,0
0.20889,1796.973,down,0
0.19111,1800.385,down,0
0.17333,1783.976,down,0
0.15556,2059.301,down,0
0.13778,2019.279,down,0
0.12000,2045.401,down,0
0.10222,2150.018,down,0
0.08444,1941.245,down,0
0.06667,1472.791,down,0
0.04889,1218.877,down,0
0.03111,1234.052,down,0
0.01333,1261.435,down,0
-0.00444,1096.954,down,0
-0.02222,1051.866,down,0
-0.04000,1042.409,down,0
-0.05422,993.688,down,0
-0.07200,1062.212,down,0
-0.08978,1060.169,down,0
-0.10756,865.857,down,0
-0.12533,714.345,down,0
-0.14311,741.445,down,0
-0.16089,784.114,down,0
-0.17867,754.186,down,0
-0.19644,738.865,down,0
-0.20000,715.827,contact,0
-0.20000,669.647,contact,0
-0.20000,640.096,contact,0
-0.20000,625.679,contact,0
-0.20000,621.396,contact,0
-0.20000,597.913,contact,0
-0.20000,620.048,contact,0
-0.20000,618.965,contact,0
-0.20000,596.933,contact,0
-0.20000,580.519,contact,0
-0.20000,636.344,contact,0
-0.18933,673.262,up,0
-0.17156,666.529,up,0
-0.15378,739.817,up,0
-0.13600,801.549,up,0
-0.11822,742.009,up,0
-0.10044,714.993,up,0
-0.08267,798.827,up,0
-0.06489,850.223,up,0
-0.04711,903.029,up,0
-0.02933,953.898,up,0
-0.01156,1032.619,up,0
0.00622,1086.233,up,0
0.02400,1111.307,up,0
0.04178,1116.111,up,0
0.05956,1121.113,up,0
0.07733,1228.183,up,0
0.09511,1225.494,up,0
0.11289,1429.490,up,0
0.13067,1655.228,up,0
0.14844,1845.685,up,0
0.16622,1918.498,up,0
0.18400,1939.439,up,0
0.20178,1938.474,up,0
0.21956,1913.836,up,0
0.23733,2027.706,up,0
0.25511,1899.233,up,0
0.27289,1719.916,up,0
0.29067,1703.251,up,0
0.30844,1831.871,up,0
0.32622,1875.848,up,0
0.34400,1901.595,up,0
0.36178,1947.812,up,0
0.37956,1768.030,up,0
0.39733,1680.395,up,0
0.41511,1701.986,up,0
0.43289,1875.133,up,0
0.45067,1941.536,up,0
0.46844,1815.763,up,0
0.48622,1737.682,up,0
0.50400,1841.198,up,0
0.52178,1916.455,up,0
0.53600,1783.917,up,0
0.55378,1760.549,up,0
0.57156,1854.945,up,0
0.58933,1999.430,up,0
0.60000,1795.789,air,0
0.60000,1629.733,air,0
0.60000,1722.614,air,0
0.60000,1766.494,air,0
0.60000,1775.263,air,0
0.60000,1760.506,air,0
0.60000,1967.922,air,0
0.60000,2087.710,air,0
0.60000,2071.860,air,0
0.60000,1984.801,air,0
0.60000,1882.455,air,0
