# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=351 step_z=0.01000
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=0.1000,0.2173,0.2226
# trigger_kind=drawdown trigger_axis=2
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5862.648,381.243,301.798
0.01000,5833.430,379.713,293.580
0.02000,5825.739,385.886,302.795
0.03000,5841.322,400.621,301.486
0.04001,5848.174,387.306,304.726
0.05001,5823.062,395.089,299.668
0.06001,5819.126,401.585,302.607
0.07002,5835.754,399.443,310.345
0.08002,5839.953,395.641,314.565
0.09002,5831.357,398.221,305.120
0.10003,5844.126,409.162,305.923
0.11003,5867.745,397.381,315.694
0.12003,5835.477,389.742,299.397
0.13003,5825.848,401.798,287.691
0.14004,5821.816,420.156,290.974
0.15004,5848.126,406.174,299.950
0.16004,5819.228,385.469,295.398
0.17004,5852.219,379.102,301.347
0.18005,5812.050,382.302,293.201
0.19005,5818.410,381.720,287.519
0.20005,5803.458,382.278,286.954
0.21005,5846.370,399.154,296.680
0.22005,5819.008,377.780,293.000
0.23006,5838.203,397.389,298.459
0.24006,5817.681,412.751,303.674
0.25007,5842.578,386.605,316.541
0.26007,5836.127,383.238,309.012
0.27007,5856.910,385.979,317.487
0.28008,5828.115,375.506,303.845
0.29008,5836.573,384.991,319.171
0.30008,5812.543,399.986,309.349
0.31009,5837.478,384.401,316.626
0.32009,5837.969,356.848,304.203
0.33009,5852.875,364.115,293.598
0.34009,5836.676,381.087,284.680
0.35010,5835.925,376.865,295.509
0.36010,5808.290,377.944,280.127
0.37010,5828.592,380.364,281.632
0.38010,5840.964,378.950,278.298
0.39011,5839.085,386.443,306.031
0.40011,5823.482,417.640,306.745
0.41011,5825.683,386.790,297.907
0.42012,5827.277,397.393,289.555
0.43012,5845.836,409.359,305.126
0.44012,5827.043,383.627,304.626
0.45012,5814.354,378.270,308.925
0.46012,5847.887,424.639,318.746
0.47013,5829.120,399.552,307.848
0.48013,5826.347,409.314,302.566
0.49013,5820.728,418.241,303.682
0.50013,5864.033,424.498,341.662
0.51014,5827.925,384.339,327.964
0.52014,5855.789,369.363,328.354
0.53014,5833.590,403.360,312.310
0.54015,5848.182,378.594,331.208
0.55015,5832.286,405.580,315.638
0.56015,5847.056,420.380,299.982
0.57016,5832.191,401.563,307.800
0.58016,5850.673,380.578,304.478
0.59016,5815.869,347.964,287.679
0.60016,5850.895,381.881,312.183
0.61016,5834.080,423.815,303.292
0.62017,5860.647,406.435,322.530
0.63017,5843.735,395.865,301.870
0.64017,5833.212,393.117,295.520
0.65018,5795.284,396.975,305.115
0.66018,5801.857,434.339,303.971
0.67018,5810.584,415.119,293.768
0.68019,5853.150,383.746,292.759
0.69019,5813.691,396.118,295.697
0.70019,5815.573,370.630,309.907
0.71020,5809.631,385.282,305.586
0.72020,5820.765,396.298,301.785
0.73020,5825.977,389.379,288.678
0.74021,5836.576,353.518,278.401
0.75021,5804.508,388.825,283.944
0.76021,5821.249,389.841,318.187
0.77021,5840.600,397.398,320.750
0.78022,5815.013,371.625,279.216
0.79022,5813.928,365.902,296.506
0.80022,5810.833,396.782,309.715
0.81023,5801.623,397.173,305.617
0.82023,5797.520,373.912,287.566
0.83023,5823.279,396.363,304.059
0.84023,5823.426,432.837,306.582
0.85024,5860.105,421.927,302.114
0.86024,5830.053,421.693,310.202
0.87024,5823.897,400.432,307.408
0.88025,5797.468,364.274,305.359
0.89025,5824.870,376.214,319.609
0.90025,5805.098,435.935,308.080
0.91025,5809.413,413.796,315.290
0.92026,5792.714,417.143,294.662
0.93026,5832.788,431.222,322.292
0.94027,5810.814,421.667,316.562
0.95027,5843.513,414.455,296.400
0.96027,5795.192,408.667,266.007
0.97027,5816.627,426.216,300.239
0.98028,5809.255,420.072,318.774
0.99028,5840.846,397.735,327.716
1.00028,5816.184,398.821,310.403
1.01029,5846.876,371.001,310.616
1.02029,5794.232,370.871,288.935
1.03030,5792.916,383.699,287.865
1.04030,5788.971,409.341,311.021
1.05031,5824.115,396.301,308.371
1.06031,5801.557,364.622,290.449
1.07032,5814.068,368.982,294.253
1.08032,5797.627,385.695,306.545
1.09032,5814.380,407.769,303.416
1.10033,5804.203,401.067,294.897
1.11033,5821.499,411.484,308.592
1.12033,5830.828,417.221,319.152
1.13034,5836.681,415.788,302.595
1.14034,5809.623,380.162,290.069
1.15034,5801.265,369.724,279.489
1.16035,5837.249,362.060,307.549
1.17035,5817.671,371.701,318.743
1.18035,5812.659,381.771,291.341
1.19035,5799.187,399.857,272.926
1.20036,5826.595,399.787,301.078
1.21036,5790.443,398.955,299.166
1.22036,5792.204,403.023,288.282
1.23036,5763.573,387.820,255.182
1.24037,5808.974,379.680,280.441
1.25037,5807.421,376.471,284.444
1.26037,5846.155,359.537,287.981
1.27037,5813.141,411.530,298.905
1.28037,5836.080,412.902,307.626
1.29038,5817.743,401.641,293.670
1.30038,5832.538,367.747,298.383
1.31038,5802.157,370.036,290.520
1.32039,5835.159,358.850,315.323
1.33039,5812.460,358.922,289.188
1.34039,5815.136,365.656,272.077
1.35039,5794.489,380.791,279.640
1.36040,5822.156,384.938,297.519
1.37040,5798.151,366.480,287.637
1.38040,5825.761,375.525,278.170
1.39041,5794.011,381.733,284.354
1.40041,5799.979,360.101,290.944
1.41041,5792.550,389.042,285.854
1.42042,5835.959,387.256,302.510
1.43042,5831.890,393.475,296.152
1.44042,5818.937,379.644,280.670
1.45043,5796.373,405.997,282.967
1.46043,5808.409,424.353,286.093
1.47044,5834.349,414.287,292.796
1.48044,5827.753,383.443,294.999
1.49044,5823.950,384.930,298.812
1.50044,5830.406,407.631,309.951
1.51045,5850.526,396.821,313.025
1.52045,5850.270,401.180,308.433
1.53045,5843.775,394.234,285.766
1.54046,5826.490,401.927,273.743
1.55046,5837.481,358.977,301.779
1.56047,5811.383,348.055,300.526
1.57047,5821.130,379.125,315.581
1.58047,5800.604,374.363,289.795
1.59048,5828.019,355.552,298.324
1.60048,5798.534,378.456,309.460
1.61048,5804.393,371.650,292.083
1.62049,5784.959,382.922,287.813
1.63049,5839.341,387.725,311.215
1.64049,5816.664,398.378,298.569
1.65050,5809.462,364.726,294.325
1.66050,5787.427,362.695,286.379
1.67050,5817.472,339.017,309.022
1.68051,5798.871,345.819,299.215
1.69051,5813.601,336.548,299.232
1.70051,5759.443,345.396,290.993
1.71051,5798.870,369.979,291.332
1.72052,5802.980,385.023,280.641
1.73052,5826.992,389.009,272.347
1.74052,5796.718,374.088,283.254
1.75053,5808.213,379.736,272.921
1.76053,5792.776,392.174,284.150
1.77053,5804.520,392.589,292.103
1.78053,5784.580,349.714,290.746
1.79054,5813.112,368.062,269.754
1.80054,5788.156,357.148,282.591
1.81054,5798.679,346.279,295.259
1.82054,5811.636,352.001,280.585
1.83054,5810.522,371.380,276.920
1.84055,5786.154,354.988,290.938
1.85055,5799.458,331.498,285.496
1.86055,5819.411,355.493,299.337
1.87055,5819.001,393.306,298.559
1.88056,5800.643,359.048,303.454
1.89056,5804.577,318.751,313.426
1.90057,5828.608,316.592,294.118
1.91057,5824.873,358.498,294.701
1.92057,5812.831,347.778,276.699
1.93057,5731.453,126.715,177.204
1.94058,5669.319,306.170,83.308
