# freq=73.00 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=0.13000 reps=1
# x=20.000 y=25.000
# air_amp=2518.632 contact_amp=824.528
# note=textured-PEI-side
z,amp,tag,rep
0.28000,898.495,warm,-1
0.28000,2089.386,warm,-1
0.28000,2499.009,warm,-1
0.28000,2540.991,warm,-1
0.28000,2440.957,warm,-1
0.28000,2494.600,warm,-1
0.28000,2533.269,warm,-1
0.28000,2479.996,warm,-1
0.28000,2443.395,warm,-1
0.28000,2482.488,warm,-1
0.28000,2511.843,warm,-1
0.28000,2519.312,warm,-1
0.28000,2508.905,warm,-1
0.28000,2467.160,warm,-1
0.28000,2427.320,warm,-1
0.28000,2387.237,warm,-1
0.28000,2505.981,warm,-1
0.28000,2600.149,warm,-1
0.28000,2529.823,warm,-1
0.28000,2427.267,warm,-1
0.28000,2365.236,warm,-1
0.28000,2437.142,warm,-1
0.28000,2494.464,warm,-1
0.28000,2452.778,warm,-1
0.26291,2464.536,down,0
0.24581,2415.726,down,0
0.22872,2433.983,down,0
0.21162,2486.817,down,0
0.19453,2460.398,down,0
0.17744,2469.470,down,0
0.16034,2488.860,down,0
0.14325,2520.956,down,0
0.12615,2526.634,down,0
0.10906,2529.305,down,0
0.09197,2406.701,down,0
0.07487,2361.748,down,0
0.05778,2064.105,down,0
0.04068,1657.358,down,0
0.02359,1304.096,down,0
0.00650,1050.941,down,0
-0.01060,898.377,down,0
-0.02769,836.568,down,0
-0.04479,971.839,down,0
-0.06188,899.914,down,0
-0.07897,760.445,down,0
-0.09607,853.242,down,0
-0.11316,916.382,down,0
-0.12000,863.712,contact,0
-0.12000,831.786,contact,0
-0.12000,938.035,contact,0
-0.12000,900.769,contact,0
-0.12000,938.290,contact,0
-0.12000,980.306,contact,0
-0.12000,903.467,contact,0
-0.12000,817.078,contact,0
-0.12000,853.773,contact,0
-0.12000,945.117,contact,0
-0.12000,995.560,contact,0
-0.12000,839.001,contact,0
-0.10632,821.801,up,0
-0.08923,842.624,up,0
-0.07214,824.528,up,0
-0.05504,787.310,up,0
-0.03795,763.265,up,0
-0.02085,855.418,up,0
-0.00376,880.545,up,0
0.01333,859.263,up,0
0.03043,1057.701,up,0
0.04752,1332.593,up,0
0.06462,1720.704,up,0
0.08171,2249.476,up,0
0.09880,2556.894,up,0
0.11590,2489.552,up,0
0.13299,2418.047,up,0
0.15009,2563.602,up,0
0.16718,2622.563,up,0
0.18427,2572.697,up,0
0.20137,2571.971,up,0
0.21846,2642.574,up,0
0.23556,2552.763,up,0
0.25265,2521.019,up,0
0.26974,2530.796,up,0
0.28000,2599.096,air,0
0.28000,2534.689,air,0
0.28000,2396.774,air,0
0.28000,2457.256,air,0
0.28000,2593.293,air,0
0.28000,2614.007,air,0
0.28000,2541.059,air,0
0.28000,2518.632,air,0
0.28000,2480.485,air,0
0.28000,2446.889,air,0
0.28000,2485.735,air,0
# outcome=confirmed drop=0.6726 thresh=0.2000 step_snr=11.42 via=ratio
