# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.00999
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=0.1000,0.3179,0.2247
# trigger_kind=drawdown trigger_axis=2
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5707.698,428.135,328.833
0.01000,5717.348,445.487,343.772
0.01999,5750.493,438.995,343.880
0.02999,5710.166,450.859,329.683
0.03999,5711.202,459.527,326.362
0.04999,5715.292,467.433,333.794
0.05999,5706.968,490.000,333.551
0.06999,5715.041,456.846,331.495
0.07998,5713.318,442.913,327.130
0.08998,5701.140,465.256,337.096
0.09998,5678.058,457.781,340.885
0.10998,5744.985,438.714,356.439
0.11998,5702.494,442.993,356.332
0.12997,5708.001,470.576,362.864
0.13997,5672.218,474.432,364.363
0.14997,5730.709,455.983,385.277
0.15996,5681.413,506.513,368.767
0.16996,5726.258,491.210,359.752
0.17995,5670.218,469.669,359.873
0.18995,5716.682,473.987,383.813
0.19995,5666.637,477.070,367.979
0.20994,5713.932,453.283,363.886
0.21994,5654.563,492.771,371.559
0.22994,5708.131,507.563,399.001
0.23994,5668.813,498.689,366.983
0.24994,5714.294,491.869,351.364
0.25993,5657.598,503.647,365.112
0.26993,5673.862,476.021,367.322
0.27993,5659.472,436.974,361.931
0.28993,5733.775,444.236,378.139
0.29993,5709.456,483.858,390.942
0.30993,5718.417,468.051,367.249
0.31993,5688.602,461.677,352.618
0.32992,5705.869,469.874,363.326
0.33992,5682.472,442.564,373.575
0.34992,5681.964,471.563,373.855
0.35991,5677.634,492.971,367.464
0.36991,5679.431,456.382,355.267
0.37991,5695.362,433.991,369.472
0.38990,5690.448,474.211,382.389
0.39990,5705.196,491.808,385.757
0.40990,5662.292,486.711,366.290
0.41990,5707.108,477.114,365.511
0.42989,5659.402,502.503,361.175
0.43989,5692.967,482.495,379.566
0.44989,5647.690,463.742,381.019
0.45989,5734.216,484.363,384.063
0.46989,5670.415,483.368,348.492
0.47989,5708.785,487.068,352.531
0.48988,5659.687,499.907,350.126
0.49988,5711.571,481.478,387.371
0.50988,5644.094,463.309,369.340
0.51988,5704.311,444.980,363.420
0.52987,5649.918,492.451,357.683
0.53987,5684.933,491.488,391.713
0.54987,5663.322,470.966,387.051
0.55986,5710.750,475.274,374.948
0.56986,5634.584,469.914,345.524
0.57986,5655.711,474.214,360.247
0.58986,5641.932,494.343,363.882
0.59985,5688.053,515.666,377.000
0.60985,5666.575,482.150,372.670
0.61985,5674.106,457.736,378.604
0.62984,5673.110,490.524,378.784
0.63984,5695.143,488.475,390.854
0.64984,5689.646,487.903,392.701
0.65984,5681.258,513.140,358.814
0.66983,5684.013,468.582,347.215
0.67983,5666.742,427.629,345.814
0.68983,5697.740,445.496,346.991
0.69983,5687.155,499.953,363.534
0.70982,5690.432,495.965,376.687
0.71982,5622.432,476.466,351.553
0.72982,5678.805,486.352,350.596
0.73982,5661.127,515.000,348.773
0.74981,5693.699,512.750,357.469
0.75981,5636.359,471.430,346.716
0.76981,5709.981,493.808,379.577
0.77981,5683.744,519.601,380.518
0.78981,5704.743,517.508,381.982
0.79980,5615.924,521.383,360.401
0.80980,5672.869,489.752,378.318
0.81980,5624.204,500.193,378.204
0.82980,5689.772,492.038,367.642
0.83980,5629.245,498.719,351.945
0.84979,5658.927,464.031,370.539
0.85979,5617.687,436.867,372.042
0.86979,5679.794,478.353,375.547
0.87979,5638.072,470.824,343.243
0.88979,5661.117,487.194,359.755
0.89979,5651.932,509.073,378.744
0.90978,5678.301,484.051,351.016
0.91978,5645.645,471.168,361.587
0.92978,5633.632,494.953,379.787
0.93978,5637.908,496.089,399.621
0.94977,5652.848,487.807,392.546
0.95977,5661.846,486.530,389.351
0.96977,5633.990,503.538,363.536
0.97976,5642.435,510.262,359.113
0.98976,5621.878,495.804,355.542
0.99976,5650.549,528.496,368.647
1.00976,5616.666,535.052,374.500
1.01975,5658.385,524.902,383.018
1.02975,5633.085,506.295,380.534
1.03975,5696.355,506.029,379.133
1.04974,5630.786,519.704,358.723
1.05974,5672.687,522.844,363.709
1.06973,5619.938,525.561,354.247
1.07973,5696.780,489.388,378.528
1.08973,5639.801,486.964,381.070
1.09973,5673.291,508.602,397.697
1.10972,5626.842,524.560,393.102
1.11972,5676.270,494.215,399.704
1.12972,5623.264,507.461,374.485
1.13971,5678.208,521.318,363.918
1.14971,5634.655,526.544,361.577
1.15971,5647.258,501.198,372.944
1.16971,5645.425,526.409,371.717
1.17970,5683.655,536.136,391.348
1.18970,5632.265,535.944,367.883
1.19970,5638.458,507.194,362.606
1.20970,5624.913,533.948,398.198
1.21969,5633.875,525.596,390.672
1.22969,5626.404,506.265,385.739
1.23969,5633.320,506.729,381.810
1.24968,5640.089,532.991,362.624
1.25968,5638.380,503.867,378.440
1.26968,5649.770,502.100,386.236
1.27967,5665.889,516.494,368.711
1.28967,5660.772,506.181,375.615
1.29967,5623.884,503.547,378.320
1.30967,5666.038,502.973,379.041
