# freq=73.00 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=-0.20000 reps=1
# x=60.000 y=100.000
# air_amp=2567.330 contact_amp=1050.344
# note=textured-PEI-side
z,amp,tag,rep
0.60000,2.822,warm,-1
0.60000,42.804,warm,-1
0.60000,576.781,warm,-1
0.60000,1617.102,warm,-1
0.60000,2219.756,warm,-1
0.60000,2549.028,warm,-1
0.60000,2720.509,warm,-1
0.60000,2532.957,warm,-1
0.60000,2467.003,warm,-1
0.60000,2552.809,warm,-1
0.60000,2471.337,warm,-1
0.60000,2440.924,warm,-1
0.60000,2616.899,warm,-1
0.60000,2716.247,warm,-1
0.60000,2629.520,warm,-1
0.60000,2624.484,warm,-1
0.60000,2631.851,warm,-1
0.60000,2613.994,warm,-1
0.60000,2555.235,warm,-1
0.60000,2526.189,warm,-1
0.60000,2754.767,warm,-1
0.60000,2873.311,warm,-1
0.60000,2637.228,warm,-1
0.60000,2582.979,warm,-1
0.60000,2629.386,warm,-1
0.60000,2673.948,warm,-1
0.58291,2934.660,down,0
0.56581,2952.844,down,0
0.54872,2730.403,down,0
0.53162,2793.929,down,0
0.51453,2863.991,down,0
0.49744,2669.520,down,0
0.48034,2690.039,down,0
0.46325,2906.283,down,0
0.44615,2900.836,down,0
0.42906,2991.464,down,0
0.41197,2882.297,down,0
0.39487,2740.073,down,0
0.37778,2739.840,down,0
0.36068,2915.715,down,0
0.34359,2772.492,down,0
0.32650,2778.261,down,0
0.30940,2897.066,down,0
0.29573,2667.545,down,0
0.27863,2540.284,down,0
0.26154,2663.542,down,0
0.24444,2628.680,down,0
0.22735,2529.681,down,0
0.21026,2568.005,down,0
0.19316,2832.339,down,0
0.17607,2994.640,down,0
0.15897,2943.919,down,0
0.14188,3131.840,down,0
0.12479,2977.067,down,0
0.10769,2870.775,down,0
0.09060,2878.477,down,0
0.07350,2682.827,down,0
0.05641,2356.488,down,0
0.03932,2289.100,down,0
0.02222,2365.104,down,0
0.00513,2132.391,down,0
-0.01197,2005.675,down,0
-0.02906,1936.132,down,0
-0.04615,1914.970,down,0
-0.06325,2024.354,down,0
-0.08034,2011.717,down,0
-0.09744,1984.532,down,0
-0.11453,1953.004,down,0
-0.13162,1826.862,down,0
-0.14872,1689.220,down,0
-0.16581,1592.649,down,0
-0.18291,1462.059,down,0
-0.20000,1365.989,down,0
-0.20000,1185.802,contact,0
-0.20000,1091.713,contact,0
-0.20000,998.176,contact,0
-0.20000,1088.698,contact,0
-0.20000,1202.125,contact,0
-0.20000,1097.085,contact,0
-0.20000,1054.855,contact,0
-0.20000,1050.554,contact,0
-0.20000,1074.411,contact,0
-0.20000,1050.344,contact,0
-0.20000,979.090,contact,0
-0.19316,1023.197,up,0
-0.17607,1190.409,up,0
-0.15897,1244.110,up,0
-0.14188,1365.226,up,0
-0.12479,1491.281,up,0
-0.10769,1591.326,up,0
-0.09060,1843.088,up,0
-0.07350,1915.834,up,0
-0.05641,1889.115,up,0
-0.03932,2017.631,up,0
-0.02222,1916.156,up,0
-0.00513,1824.858,up,0
0.01197,1908.649,up,0
0.02906,1958.215,up,0
0.04615,2039.547,up,0
0.06325,2158.980,up,0
0.08034,2272.586,up,0
0.09744,2212.353,up,0
0.11453,2116.371,up,0
0.13162,2490.122,up,0
0.14872,2558.515,up,0
0.16581,2408.989,up,0
0.18291,2503.058,up,0
0.20000,2621.030,up,0
0.21709,2768.635,up,0
0.23419,2862.969,up,0
0.25128,2745.939,up,0
0.26838,2653.196,up,0
0.28547,2647.563,up,0
0.30256,2564.151,up,0
0.31966,2594.467,up,0
0.33675,2575.624,up,0
0.35385,2576.903,up,0
0.37094,2759.629,up,0
0.38803,2655.319,up,0
0.40513,2520.681,up,0
0.42222,2759.243,up,0
0.43932,2832.998,up,0
0.45641,2687.951,up,0
0.47350,2746.217,up,0
0.49060,2798.515,up,0
0.50769,2835.617,up,0
0.52479,2673.789,up,0
0.54188,2586.921,up,0
0.55897,2773.645,up,0
0.57607,2730.402,up,0
0.59316,2439.877,up,0
0.60000,2558.263,air,0
0.60000,2631.903,air,0
0.60000,2625.097,air,0
0.60000,2629.712,air,0
0.60000,2393.269,air,0
0.60000,2470.413,air,0
0.60000,2620.136,air,0
0.60000,2607.833,air,0
0.60000,2567.330,air,0
0.60000,2500.461,air,0
0.60000,2481.320,air,0
