# freq=112.70 accel_per_hz=120.0 speed=0.2000
# win_n=141 step_z=0.01001
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=smooth-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
1.59092,3509.740,360.441,1642.406
1.60092,3512.201,354.781,1652.572
1.61093,3513.618,404.828,1646.853
1.62093,3515.223,389.807,1621.879
1.63094,3524.674,359.650,1695.904
1.64094,3484.854,377.818,1646.121
1.65095,3490.858,429.336,1643.584
1.66095,3474.193,392.663,1613.931
1.67096,3497.317,352.049,1646.106
1.68097,3497.858,370.525,1680.436
1.69097,3478.786,414.110,1645.785
1.70098,3457.029,386.835,1646.463
