# freq=54.70 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=0.12250 reps=1
# x=80.000 y=30.000
# air_amp=1502.795 contact_amp=208.565
# note=textured-PEI-side
z,amp,tag,rep
0.27250,754.355,warm,-1
0.27250,1479.290,warm,-1
0.27250,1595.564,warm,-1
0.27250,1600.698,warm,-1
0.27250,1583.901,warm,-1
0.27250,1554.960,warm,-1
0.27250,1542.576,warm,-1
0.27250,1528.514,warm,-1
0.27250,1526.879,warm,-1
0.27250,1569.557,warm,-1
0.27250,1588.166,warm,-1
0.25432,1590.893,down,0
0.21795,1578.538,down,0
0.18159,1555.248,down,0
0.14523,1456.361,down,0
0.10886,862.958,down,0
0.07250,283.133,down,0
0.03614,193.700,down,0
-0.00023,268.990,down,0
-0.03659,294.635,down,0
-0.07295,297.907,down,0
-0.10932,301.390,down,0
-0.12750,274.335,contact,0
-0.12750,252.778,contact,0
-0.12750,265.695,contact,0
-0.12750,272.724,contact,0
-0.12750,288.674,contact,0
-0.12750,266.057,contact,0
-0.09114,263.240,up,0
-0.05477,268.843,up,0
-0.01841,223.326,up,0
0.01795,208.565,up,0
0.05432,134.949,up,0
0.09068,217.710,up,0
0.12705,664.422,up,0
0.16341,1286.344,up,0
0.19977,1541.953,up,0
0.23614,1555.580,up,0
0.27250,1532.197,up,0
0.27250,1502.290,air,0
0.27250,1503.299,air,0
0.27250,1508.254,air,0
0.27250,1490.822,air,0
# outcome=confirmed drop=0.8612 thresh=0.2000 step_snr=2.54 via=ratio
