# freq=104.06 accel_per_hz=120.0 speed=0.1000
# win_n=152 step_z=0.01001
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5073.864,410.329,473.902
0.01000,5141.788,402.786,547.657
0.02001,5172.122,430.058,497.745
0.03001,5138.767,422.855,506.765
0.04002,5185.996,382.240,523.434
0.05002,5150.249,398.047,484.530
0.06003,5129.140,398.755,539.830
0.07003,5108.015,454.777,504.947
0.08003,5168.915,377.740,553.059
0.09004,5157.850,424.765,515.999
0.10004,5213.656,486.973,568.025
0.11004,5164.133,437.085,510.688
0.12005,5126.115,331.460,501.608
0.13005,5154.725,440.969,516.845
0.14005,5114.865,398.834,509.878
0.15006,5185.124,437.576,526.174
0.16006,5158.220,450.927,512.322
0.17007,5168.608,434.442,539.176
0.18007,5091.300,406.838,461.457
0.19007,5157.186,382.768,555.418
0.20008,5113.153,453.149,512.330
0.21008,5128.416,423.879,510.113
0.22009,5125.084,426.021,494.601
0.23009,5158.931,473.330,516.279
0.24009,5145.775,444.313,535.375
0.25010,5155.809,396.740,563.982
0.26010,5165.691,449.356,530.056
0.27010,5093.126,384.772,512.262
0.28010,5145.526,450.494,579.295
0.29011,5117.305,393.640,521.065
0.30011,5146.759,411.650,534.643
0.31011,5157.379,407.547,499.081
0.32012,5175.114,436.470,535.720
0.33012,5175.969,456.034,507.594
0.34013,5109.455,427.695,512.879
0.35013,5126.003,424.600,485.655
0.36013,5149.277,428.749,489.947
0.37014,5171.140,373.837,516.130
0.38014,5153.392,399.922,521.752
0.39014,5161.483,464.221,507.920
0.40015,5143.430,386.930,517.851
0.41015,5136.560,408.561,506.953
0.42015,5128.766,324.806,510.577
0.43016,5120.925,352.520,478.365
0.44016,5135.382,401.808,476.506
0.45017,5135.664,453.107,484.566
0.46017,5199.443,452.309,537.528
0.47017,5142.300,396.139,527.722
0.48018,5165.661,428.763,538.434
0.49018,5110.895,446.448,543.184
0.50018,5120.224,430.027,489.272
0.51019,5145.624,413.844,527.888
0.52019,5169.758,433.521,532.045
0.53020,5165.117,434.136,491.349
0.54020,5175.393,396.545,507.550
0.55020,5167.892,398.514,542.540
0.56021,5173.917,421.508,509.299
0.57021,5084.486,411.690,496.934
0.58021,5138.325,377.834,533.769
0.59022,5162.853,435.075,553.083
0.60022,5193.926,426.721,516.642
0.61022,5183.556,386.072,489.824
0.62023,5141.393,376.137,524.751
0.63023,5119.353,462.383,499.421
0.64024,5097.803,432.368,567.164
0.65024,5166.624,458.918,542.202
0.66025,5150.494,425.191,521.483
0.67025,5174.230,443.590,557.125
0.68025,5199.995,334.684,535.938
0.69026,5119.469,362.058,505.124
0.70026,5126.242,439.010,483.576
0.71026,5127.695,441.912,469.817
0.72027,5171.045,385.270,513.355
0.73027,5159.848,414.301,513.642
0.74027,5176.989,432.831,508.376
0.75028,5150.526,416.794,506.215
0.76028,5090.624,400.954,511.773
0.77029,5162.340,396.330,537.093
0.78029,5114.023,369.661,523.553
0.79030,5167.745,442.606,550.436
0.80030,5165.668,399.905,521.373
0.81030,5142.593,418.393,504.160
0.82031,5160.187,452.420,504.961
