# freq=72.10 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.00998
# warmup=0.800
# halt_floor=0.0730,0.5320,0.2750
# deriv_floor=0.1095,0.7980,0.4125
# drawdown_thresh=0.1000,1.0751,0.3843
# trigger_kind=drawdown trigger_axis=0
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,19789.829,526.158,2493.897
0.00998,19550.453,575.483,2448.186
0.01996,19667.398,560.194,2470.572
0.02994,19868.466,570.319,2380.256
0.03991,19671.241,554.020,2323.345
0.04989,19532.845,630.774,2277.928
0.05987,19286.111,595.714,2289.770
0.06985,19541.740,605.263,2377.827
0.07983,19846.964,387.922,2493.584
0.08981,19538.161,452.780,2354.297
0.09979,19780.470,424.659,2512.359
0.10976,19872.674,272.758,2638.750
0.11974,19870.919,450.466,2433.394
0.12972,19383.175,594.719,2310.214
0.13970,19160.825,616.555,2432.254
0.14968,19498.827,487.231,2464.680
0.15966,19777.573,446.157,2463.439
0.16964,19807.206,485.554,2462.386
0.17962,19409.828,527.971,2391.200
0.18960,19204.519,567.308,2373.752
0.19958,19163.736,544.648,2270.115
0.20956,19588.788,458.923,2382.423
0.21954,19786.479,338.203,2565.088
0.22952,19403.376,381.441,2288.887
0.23950,19285.283,471.021,2285.104
0.24948,19359.310,468.885,2298.974
0.25946,19634.638,491.236,2308.494
0.26944,19567.822,460.278,2462.437
0.27941,19565.690,401.255,2502.655
0.28939,19552.373,283.351,2434.925
0.29937,19558.474,366.825,2566.656
0.30935,19608.510,451.955,2553.301
0.31933,19401.553,517.897,2278.120
0.32931,19310.342,632.288,2132.521
0.33929,19140.222,591.880,2097.736
0.34926,19410.566,546.257,2268.680
0.35924,19614.675,412.364,2412.363
0.36922,19477.095,480.001,2435.402
0.37920,19380.094,581.067,2455.261
0.38918,19220.119,540.693,2226.930
0.39916,19491.299,596.957,2395.632
0.40914,19529.537,461.240,2555.522
0.41912,19574.131,390.608,2660.108
0.42910,19585.302,337.874,2526.491
0.43908,19536.754,396.629,2447.839
0.44906,19820.874,333.293,2568.843
0.45903,19394.565,417.744,2475.138
0.46901,19375.720,413.855,2622.018
0.47899,19189.588,496.608,2367.245
0.48897,19157.968,669.316,2050.970
0.49895,19228.673,628.561,2235.434
0.50893,19146.909,580.763,2317.969
0.51891,19339.321,509.062,2321.814
0.52889,19394.818,447.815,2283.713
0.53887,19718.974,493.206,2496.007
0.54885,19668.330,440.291,2649.157
0.55883,19469.912,474.688,2462.076
0.56881,19351.322,521.355,2206.509
0.57879,19519.850,539.841,2503.658
0.58877,19602.968,544.498,2471.526
0.59875,19402.731,536.896,2405.788
0.60873,19413.387,557.200,2342.438
0.61871,19427.355,472.807,2420.060
0.62868,19878.822,420.130,2623.559
0.63866,19516.497,542.717,2222.284
0.64864,19297.364,624.642,2092.179
0.65862,19497.104,597.271,2342.030
0.66860,19540.027,471.969,2542.146
0.67858,19565.391,635.657,2507.187
0.68856,19271.448,645.306,2424.553
0.69854,19284.346,628.717,2324.298
0.70852,19427.228,589.767,2298.751
0.71850,19408.963,677.329,2344.001
0.72847,19519.394,692.044,2475.003
0.73845,19657.389,586.457,2573.361
0.74843,19415.298,651.039,2410.008
0.75841,19225.559,714.147,2228.316
0.76839,19655.063,684.008,2338.810
0.77837,19497.341,696.783,2356.945
0.78835,19185.241,738.672,2411.263
0.79833,19245.434,694.794,2410.546
0.80831,19406.327,657.369,2293.468
0.81829,19583.244,716.187,2271.683
0.82827,19174.311,798.434,2160.379
0.83825,18753.711,973.033,2015.706
0.84823,18880.495,827.930,2163.348
0.85821,19175.388,796.465,2233.368
0.86819,19121.490,862.811,2191.136
0.87816,18837.973,907.536,2237.841
0.88814,18889.180,891.908,2257.682
0.89812,18809.541,808.796,2060.946
0.90810,19015.831,827.161,2282.096
0.91808,18823.418,841.483,2311.624
0.92806,18686.789,897.429,2114.802
0.93804,18872.549,820.543,2132.031
0.94802,19038.407,746.734,2391.196
0.95800,19153.043,731.729,2322.844
0.96798,18747.171,785.442,2203.647
0.97796,18503.318,882.868,2010.652
0.98794,18479.165,904.817,2008.560
0.99792,18913.536,774.902,2150.892
1.00790,19125.660,659.230,2295.014
1.01787,18853.497,684.199,2204.445
1.02785,19080.095,636.233,2339.350
1.03783,19139.668,652.318,2367.057
1.04781,19298.223,707.761,2205.487
1.05779,18970.900,797.101,2086.202
1.06777,18916.227,812.715,2211.961
1.07775,18958.016,745.957,2282.776
1.08773,19128.324,645.496,2262.233
1.09771,19234.216,695.471,2224.577
1.10769,18853.313,757.976,2078.323
1.11767,18890.085,863.312,2211.952
1.12765,19027.960,755.208,2302.914
1.13763,19113.347,832.060,2270.181
1.14761,19112.930,890.037,2256.027
1.15758,18806.732,881.691,2060.454
1.16756,18799.264,959.211,2048.095
1.17755,18731.749,892.115,2049.224
1.18753,19219.165,774.391,2302.873
1.19751,19280.997,701.647,2403.282
1.20749,18910.216,823.193,2178.128
1.21747,18995.582,806.464,1968.595
1.22745,19125.727,735.091,2065.975
