# freq=73.00 accel_per_hz=120.0 speed=0.2000
# win_n=348 step_z=0.00999
# warmup=0.800
# halt_floor=0.0620,0.5220,0.3400
# deriv_floor=0.0930,0.7830,0.5100
# drawdown_thresh=0.1000,0.4829,0.4470
# trigger_kind=drawdown trigger_axis=2
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,13714.815,740.568,1409.688
0.00999,13698.478,772.818,1299.099
0.01998,13628.243,783.722,1198.018
0.02997,13663.824,751.944,1236.928
0.03996,13687.824,771.335,1213.218
0.04995,13641.306,756.981,1208.687
0.05994,13685.165,692.507,1360.183
0.06994,13688.972,770.913,1395.184
0.07993,13742.338,767.945,1352.479
0.08992,13732.390,749.979,1364.206
0.09991,13743.445,818.512,1322.144
0.10990,13639.881,875.806,1111.871
0.11989,13695.390,810.440,1224.611
0.12988,13803.039,782.937,1345.654
0.13987,13811.364,779.521,1365.651
0.14986,13781.363,752.500,1449.826
0.15985,13790.031,734.587,1530.573
0.16984,13740.809,811.463,1370.749
0.17983,13686.807,806.579,1296.885
0.18982,13699.599,763.360,1314.203
0.19980,13750.629,786.204,1300.075
0.20979,13733.162,776.549,1302.050
0.21978,13699.258,790.881,1353.359
0.22977,13666.162,815.776,1251.633
0.23976,13617.256,874.690,1051.789
0.24975,13667.791,808.504,1252.877
0.25974,13707.048,806.131,1373.456
0.26973,13803.902,750.481,1400.713
0.27973,13737.332,697.866,1394.967
0.28972,13703.605,744.602,1311.656
0.29971,13692.295,795.619,1294.317
0.30970,13645.049,804.132,1261.134
0.31969,13742.223,714.971,1371.479
0.32968,13844.763,693.140,1523.297
0.33967,13644.835,790.125,1258.309
0.34966,13654.507,856.248,1307.665
0.35965,13789.767,736.646,1414.139
0.36964,13779.033,708.589,1356.772
0.37963,13766.452,699.777,1273.400
0.38962,13728.728,747.910,1237.934
0.39961,13649.753,806.895,1164.653
0.40960,13632.583,791.501,1262.823
0.41959,13707.401,721.365,1320.820
0.42958,13677.444,833.607,1187.351
0.43957,13716.049,744.853,1244.603
0.44956,13677.802,755.981,1188.666
0.45955,13746.211,705.178,1303.074
0.46954,13668.854,736.235,1334.689
0.47953,13656.162,775.789,1298.078
0.48952,13583.416,782.980,1183.365
0.49952,13546.829,778.108,1154.567
0.50951,13589.967,803.790,1240.952
0.51950,13707.570,767.195,1256.533
0.52949,13787.310,696.632,1315.665
0.53948,13902.886,596.828,1513.058
0.54947,13867.860,602.945,1487.967
0.55946,13775.873,674.101,1349.352
0.56945,13784.435,673.199,1524.921
0.57943,13725.844,727.806,1402.119
0.58942,13788.378,696.499,1375.692
0.59941,13687.438,701.526,1305.667
0.60940,13619.553,758.625,1242.519
0.61939,13769.551,752.719,1354.508
0.62938,13786.243,688.239,1381.590
0.63937,13826.084,680.461,1490.569
0.64937,13801.873,742.180,1407.516
0.65936,13633.168,810.090,1230.091
0.66935,13691.478,751.191,1304.479
0.67934,13731.253,751.889,1316.877
0.68933,13705.141,743.025,1320.902
0.69932,13663.948,715.601,1298.146
0.70931,13565.744,801.382,1121.626
0.71930,13502.249,859.590,1047.534
0.72929,13576.769,824.825,1226.061
0.73928,13705.409,797.422,1370.570
0.74927,13684.921,862.712,1292.159
0.75926,13686.555,825.639,1327.778
0.76925,13744.788,759.864,1397.095
0.77925,13750.066,782.774,1265.502
0.78924,13752.122,758.947,1358.067
0.79923,13847.261,713.366,1461.132
0.80922,13870.800,747.808,1427.908
0.81921,13716.021,757.942,1272.704
0.82920,13681.169,719.657,1267.131
0.83919,13747.982,740.464,1344.504
0.84918,13695.621,787.937,1325.118
0.85917,13698.117,744.384,1362.645
0.86916,13767.833,672.272,1439.938
0.87915,13860.228,650.656,1444.622
0.88914,13716.114,711.337,1259.278
0.89913,13699.366,711.184,1206.089
0.90913,13717.480,774.811,1171.800
0.91912,13717.274,706.708,1252.723
0.92911,13666.291,732.348,1293.900
0.93909,13704.136,797.334,1234.261
0.94908,13737.903,707.364,1299.614
0.95907,13660.002,764.577,1190.134
0.96906,13673.711,744.538,1186.743
0.97905,13745.408,703.476,1246.866
0.98904,13714.438,741.653,1246.917
0.99903,13758.501,709.708,1381.209
1.00902,13760.990,669.412,1301.491
1.01901,13706.865,733.153,1281.235
1.02900,13687.647,762.330,1242.865
1.03899,13693.195,739.495,1152.347
1.04898,13689.651,698.829,1275.734
1.05897,13781.100,650.181,1477.320
1.06896,13867.761,630.105,1603.355
1.07895,13762.482,670.787,1397.116
1.08894,13803.452,646.910,1375.808
1.09893,13836.767,676.338,1380.755
1.10892,13666.695,744.501,1224.485
1.11891,13731.909,646.935,1403.818
1.12890,13834.793,612.189,1480.330
1.13889,13739.801,654.989,1359.220
1.14888,13726.724,714.027,1230.074
1.15887,13739.853,666.189,1230.040
1.16886,13768.379,650.700,1333.501
1.17885,13713.638,675.120,1170.599
1.18884,13654.593,704.789,1168.705
1.19883,13715.868,726.230,1358.186
1.20882,13702.350,703.424,1364.736
1.21881,13681.366,739.022,1285.290
1.22880,13720.670,800.701,1297.924
1.23879,13686.333,752.604,1310.547
1.24878,13706.488,704.938,1335.966
1.25877,13734.213,734.613,1309.256
1.26876,13743.503,715.896,1362.047
1.27875,13679.680,694.090,1312.045
1.28874,13656.837,713.096,1231.958
1.29873,13682.107,663.542,1286.896
1.30871,13697.721,690.609,1299.729
1.31870,13673.717,762.479,1197.645
1.32869,13636.791,772.338,1195.889
1.33868,13666.324,692.534,1355.687
1.34867,13835.355,650.240,1520.774
1.35866,13768.995,687.053,1299.940
1.36865,13522.552,827.062,1053.263
1.37864,13556.296,769.359,1075.178
1.38863,13662.001,713.939,1150.771
1.39862,13671.006,694.854,1198.443
1.40861,13721.222,688.490,1306.290
1.41860,13627.632,748.122,1227.420
1.42860,13562.245,760.903,1222.738
1.43859,13565.296,704.913,1188.626
1.44858,13663.628,637.769,1334.503
1.45857,13689.970,627.615,1450.391
1.46856,13676.262,652.817,1319.672
1.47855,13798.408,546.814,1459.818
1.48854,13842.519,571.085,1514.445
1.49853,13727.682,633.500,1408.469
1.50852,13809.057,571.672,1492.391
