# freq=72.10 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.00999
# warmup=0.800
# halt_floor=0.0730,0.5320,0.2750
# deriv_floor=0.1095,0.7980,0.4125
# drawdown_thresh=0.1000,0.2005,0.2291
# trigger_kind=drawdown trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,20429.541,1485.707,2143.692
0.00998,20718.480,1371.108,2268.584
0.01996,21071.934,1299.522,2446.693
0.02995,20816.647,1281.999,2465.606
0.03993,20451.541,1369.411,2363.655
0.04991,20687.669,1306.905,2496.299
0.05989,20776.608,1319.794,2435.794
0.06987,20945.542,1290.803,2494.879
0.07985,20832.959,1298.859,2524.156
0.08983,20813.633,1266.017,2580.303
0.09982,20841.223,1317.896,2576.539
0.10980,21123.041,1364.722,2471.701
0.11978,20953.327,1374.229,2418.369
0.12976,20837.354,1319.852,2498.590
0.13975,20840.051,1255.073,2523.266
0.14973,21017.359,1283.053,2520.294
0.15971,21139.303,1307.232,2419.679
0.16969,21075.584,1272.094,2577.565
0.17967,20966.145,1323.337,2717.335
0.18965,20979.560,1278.380,2677.550
0.19963,21036.224,1326.040,2501.004
0.20961,20724.818,1378.227,2306.786
0.21959,20454.936,1411.175,2227.222
0.22957,20670.069,1363.314,2253.629
0.23955,20901.291,1286.488,2416.213
0.24953,21198.592,1267.772,2709.952
0.25951,20941.572,1242.656,2677.109
0.26950,20657.985,1301.162,2541.801
0.27948,20630.058,1410.671,2365.454
0.28946,20945.428,1358.889,2380.575
0.29944,20964.597,1354.590,2427.081
0.30942,20647.108,1338.740,2369.192
0.31940,20806.880,1266.261,2573.675
0.32938,20824.962,1278.306,2537.148
0.33936,21071.261,1307.986,2415.264
0.34934,20939.485,1333.178,2374.417
0.35933,20530.429,1327.235,2445.027
0.36931,20384.104,1340.247,2220.459
0.37929,20635.084,1358.964,2192.510
0.38927,20772.093,1406.898,2238.362
0.39925,20547.315,1366.525,2158.745
0.40924,20676.499,1322.082,2210.999
0.41922,20914.184,1250.292,2463.149
0.42920,21242.761,1241.993,2850.960
0.43918,21236.485,1245.082,2678.045
0.44916,21019.776,1231.703,2670.596
0.45915,20871.544,1339.458,2593.915
0.46913,20802.215,1347.826,2462.938
0.47911,20965.995,1319.101,2444.344
0.48909,20793.394,1307.766,2365.245
0.49907,20560.897,1353.155,2434.330
0.50905,20989.971,1274.309,2785.568
0.51903,21177.813,1155.606,2819.289
0.52902,21173.695,1214.916,2708.240
0.53900,20698.785,1259.522,2564.097
0.54898,20498.365,1316.622,2406.502
0.55896,20713.042,1316.441,2381.638
0.56895,21054.517,1272.686,2507.297
0.57893,21021.440,1226.189,2541.795
0.58891,20757.854,1202.708,2486.300
0.59889,20872.423,1221.493,2488.641
0.60887,20923.112,1214.658,2403.851
0.61886,21127.292,1249.732,2420.629
0.62884,21092.270,1270.098,2611.758
0.63882,20790.741,1274.737,2468.669
0.64880,20820.883,1196.677,2398.692
0.65879,21047.674,1267.312,2566.487
0.66877,21055.213,1307.495,2516.290
0.67875,20721.423,1227.421,2553.757
0.68873,20761.738,1194.257,2671.324
0.69871,20796.446,1217.067,2469.038
0.70870,20993.321,1260.546,2486.287
0.71868,20895.921,1212.126,2456.229
0.72866,20663.766,1190.936,2407.279
0.73864,20761.568,1214.458,2427.133
0.74862,20948.608,1215.215,2451.416
0.75861,21140.907,1264.799,2464.922
0.76859,20833.407,1260.937,2355.954
0.77857,20513.137,1290.151,2250.546
0.78855,20729.198,1284.257,2414.263
0.79853,20958.521,1276.798,2477.228
0.80852,21027.255,1224.300,2513.751
0.81850,20947.268,1141.595,2696.542
0.82848,20747.380,1217.014,2646.476
0.83846,20910.344,1256.649,2643.848
