# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.01000
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=0.1000,0.1000,0.1000
# trigger_kind=drawdown trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5572.683,1519.817,827.216
0.01000,5618.440,1515.710,842.454
0.02000,5556.801,1538.964,825.777
0.03000,5606.584,1510.562,810.139
0.04000,5571.220,1510.001,791.088
0.05000,5604.555,1480.051,806.231
0.06000,5543.606,1502.507,802.458
0.07000,5605.133,1499.372,802.603
0.08001,5558.753,1521.995,816.163
0.09001,5610.303,1501.482,818.901
0.10001,5544.040,1489.141,811.391
0.11001,5581.077,1478.876,803.930
0.12001,5519.073,1489.832,784.087
0.13002,5568.536,1447.072,787.202
0.14002,5540.090,1480.787,810.245
0.15002,5606.250,1484.307,804.252
0.16003,5547.433,1484.079,794.483
0.17003,5579.634,1469.901,800.768
0.18003,5546.974,1512.367,815.395
0.19004,5594.480,1483.396,826.797
0.20004,5560.263,1467.080,837.166
0.21004,5581.041,1443.541,821.993
0.22004,5563.024,1460.975,795.136
0.23005,5612.500,1461.455,809.603
0.24005,5590.216,1431.959,817.973
0.25005,5570.234,1407.386,804.255
0.26005,5553.565,1421.120,798.501
0.27006,5548.013,1434.063,771.225
0.28006,5550.374,1464.612,764.237
0.29006,5546.869,1463.256,768.060
0.30006,5600.088,1432.460,797.818
0.31007,5600.871,1424.625,785.830
0.32007,5606.696,1448.983,785.174
0.33007,5580.863,1438.317,799.369
0.34007,5600.369,1402.703,781.945
0.35007,5582.737,1417.922,783.488
0.36007,5620.247,1410.777,789.292
0.37007,5579.027,1423.811,788.764
0.38007,5601.284,1437.882,787.199
0.39007,5569.209,1463.905,775.860
0.40007,5619.417,1427.001,784.028
0.41008,5522.251,1410.488,772.190
0.42008,5582.245,1433.629,752.724
0.43008,5549.546,1468.996,751.052
0.44008,5615.323,1414.819,779.989
0.45008,5558.897,1439.443,803.385
0.46009,5603.381,1423.740,819.634
0.47009,5553.900,1403.475,816.352
0.48009,5611.151,1437.990,796.751
0.49009,5568.638,1480.213,818.038
0.50009,5617.175,1487.311,818.856
0.51009,5549.515,1479.600,801.329
0.52010,5586.280,1473.322,778.986
0.53010,5562.803,1463.382,798.266
0.54010,5602.745,1449.286,799.535
0.55010,5583.223,1495.959,811.272
0.56011,5578.440,1467.427,790.464
0.57011,5533.004,1450.793,781.936
0.58011,5574.464,1422.794,799.027
0.59011,5574.426,1424.762,815.841
0.60012,5575.924,1438.410,799.931
0.61012,5564.115,1442.992,797.924
0.62012,5559.247,1460.512,789.077
0.63012,5568.011,1465.738,772.345
0.64013,5560.290,1455.128,785.820
0.65013,5584.306,1466.713,814.972
0.66013,5574.868,1461.682,807.861
0.67013,5614.204,1452.809,806.316
0.68013,5586.199,1485.767,821.822
0.69013,5612.713,1458.829,812.827
0.70013,5558.915,1438.256,797.370
0.71014,5577.190,1469.200,807.840
0.72014,5553.635,1489.340,788.890
0.73014,5603.430,1463.005,783.857
0.74014,5553.484,1451.401,798.970
0.75014,5599.022,1410.146,814.721
0.76015,5543.042,1431.892,790.182
0.77015,5607.720,1447.178,798.220
0.78015,5553.652,1444.626,804.359
