# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.00999
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=0.1000,0.1000,0.1643
# trigger_kind=drawdown trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5885.313,1293.829,583.094
0.01000,5948.666,1276.827,580.586
0.01999,5908.460,1285.257,583.814
0.02998,5957.807,1307.597,568.952
0.03998,5911.303,1313.518,574.770
0.04997,5946.476,1285.513,597.326
0.05996,5912.083,1266.769,601.782
0.06996,5929.408,1270.760,593.233
0.07996,5926.258,1284.523,576.918
0.08995,5948.776,1292.464,570.665
0.09995,5919.775,1292.000,562.259
0.10994,5943.916,1259.313,557.164
0.11994,5916.499,1267.760,588.855
0.12993,5930.851,1280.748,599.042
0.13993,5939.347,1277.114,590.519
0.14992,5910.150,1289.012,572.003
0.15992,5913.913,1276.702,580.804
0.16991,5904.724,1285.752,587.742
0.17991,5941.232,1274.360,592.021
0.18991,5890.648,1285.027,611.344
0.19990,5907.854,1297.009,594.760
0.20990,5911.010,1299.677,613.995
0.21990,5959.162,1288.571,612.592
0.22989,5889.561,1326.959,581.604
0.23989,5931.206,1329.961,583.389
0.24988,5897.828,1289.375,577.372
0.25988,5965.839,1262.929,601.806
0.26988,5886.660,1277.026,617.966
0.27987,5925.579,1292.408,619.658
0.28987,5889.859,1301.012,612.622
0.29987,5954.462,1297.216,582.073
0.30986,5893.357,1323.582,575.627
0.31986,5920.865,1308.316,587.714
0.32986,5897.344,1296.352,604.091
0.33985,5947.658,1266.076,583.388
0.34985,5902.966,1297.150,564.659
0.35984,5928.564,1330.497,582.484
0.36984,5905.620,1331.531,600.958
0.37984,5921.547,1344.847,597.658
0.38983,5866.811,1332.217,572.444
0.39983,5922.452,1294.313,555.788
0.40983,5905.669,1293.798,573.471
0.41982,5885.686,1280.189,590.036
0.42982,5868.533,1292.494,586.040
0.43982,5873.781,1268.300,585.932
0.44981,5903.190,1270.502,596.907
0.45981,5862.241,1274.631,580.493
0.46981,5900.981,1266.131,587.686
0.47980,5896.761,1299.129,592.163
0.48980,5915.263,1273.555,598.787
0.49979,5884.999,1268.442,611.148
0.50979,5930.456,1290.242,618.572
