# freq=73.18 accel_per_hz=120.0 speed=0.3000
# win_n=217 step_z=0.00997
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,14621.049,566.995,1645.524
0.00998,14600.389,597.835,1613.722
0.01995,14570.646,600.643,1596.179
0.02993,14679.614,615.655,1674.956
0.03990,14681.264,637.204,1678.020
0.04988,14593.893,712.833,1633.362
0.05985,14624.266,654.900,1709.187
0.06983,14732.425,612.204,1718.948
0.07981,14670.081,643.536,1603.434
0.08978,14780.037,567.978,1782.166
0.09976,14917.568,533.986,2001.686
0.10974,14813.337,531.041,1943.694
0.11972,14755.187,603.821,1834.680
0.12969,14810.322,552.123,1869.412
0.13967,14839.640,593.476,1851.398
0.14965,14745.439,604.816,1793.501
0.15963,14748.795,582.579,1789.083
0.16961,14945.592,584.007,2037.420
0.17959,14846.028,571.070,1916.773
0.18956,14782.760,578.082,1927.922
0.19954,14860.590,571.936,1984.976
0.20952,14757.227,546.413,1853.542
0.21950,14747.687,571.540,1788.639
0.22947,14768.851,534.920,1755.261
0.23945,14778.195,548.968,1887.889
0.24943,14764.656,525.758,2024.912
0.25940,14692.990,566.559,1892.142
0.26938,14601.386,595.297,1587.840
0.27935,14665.434,572.502,1757.196
0.28933,14680.333,578.155,1916.155
0.29930,14778.231,537.200,1967.447
0.30928,14890.961,500.964,2076.746
0.31926,14667.880,521.492,1744.742
0.32923,14648.187,471.549,1854.313
0.33921,14703.472,554.276,1845.740
0.34919,14608.029,622.125,1639.045
0.35916,14620.093,528.210,1785.115
0.36914,14638.750,525.929,1831.862
0.37912,14688.713,557.647,1870.762
0.38910,14680.973,568.696,1764.035
0.39907,14699.130,573.527,1816.701
0.40905,14724.983,543.986,1870.041
0.41903,14638.968,561.969,1826.963
0.42900,14596.051,666.463,1817.982
0.43898,14429.774,659.129,1597.633
0.44896,14396.751,643.256,1492.757
0.45893,14574.110,567.106,1656.509
0.46891,14777.542,486.153,1735.423
