# freq=73.00 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=-0.20000 reps=1
# x=60.000 y=100.000
# air_amp=737.122 contact_amp=70.235
# note=textured-PEI-side
z,amp,tag,rep
0.60000,23.927,warm,-1
0.60000,55.098,warm,-1
0.60000,458.963,warm,-1
0.60000,863.291,warm,-1
0.60000,1047.496,warm,-1
0.60000,1095.806,warm,-1
0.60000,1025.105,warm,-1
0.60000,1059.815,warm,-1
0.60000,960.556,warm,-1
0.60000,942.352,warm,-1
0.60000,1024.539,warm,-1
0.60000,1009.263,warm,-1
0.60000,993.415,warm,-1
0.60000,1045.962,warm,-1
0.60000,937.189,warm,-1
0.60000,943.547,warm,-1
0.60000,872.049,warm,-1
0.60000,851.465,warm,-1
0.60000,867.386,warm,-1
0.60000,785.241,warm,-1
0.60000,743.030,warm,-1
0.60000,729.478,warm,-1
0.60000,712.044,warm,-1
0.60000,706.446,warm,-1
0.60000,827.355,warm,-1
0.59658,829.388,down,0
0.57949,701.669,down,0
0.56239,694.677,down,0
0.54530,732.214,down,0
0.52821,766.715,down,0
0.51111,807.769,down,0
0.49402,738.839,down,0
0.48034,716.523,down,0
0.46325,733.632,down,0
0.44615,683.327,down,0
0.42906,628.380,down,0
0.41197,571.651,down,0
0.39487,696.020,down,0
0.37778,809.328,down,0
0.36068,743.611,down,0
0.34359,628.363,down,0
0.32650,675.395,down,0
0.30940,673.035,down,0
0.29231,633.954,down,0
0.27521,652.757,down,0
0.25812,632.278,down,0
0.24103,698.893,down,0
0.22393,828.317,down,0
0.20684,860.511,down,0
0.18974,633.830,down,0
0.17265,787.904,down,0
0.15556,924.586,down,0
0.13846,687.694,down,0
0.12137,402.534,down,0
0.10427,439.833,down,0
0.08718,205.129,down,0
0.07009,29.451,down,0
0.05299,164.902,down,0
0.03590,124.684,down,0
0.01880,170.881,down,0
0.00171,353.198,down,0
-0.01538,393.847,down,0
-0.03248,549.822,down,0
-0.04957,638.737,down,0
-0.06667,673.664,down,0
-0.08376,937.306,down,0
-0.10085,922.035,down,0
-0.11795,785.710,down,0
-0.13504,895.380,down,0
-0.15214,891.814,down,0
-0.16923,804.582,down,0
-0.18291,855.310,down,0
-0.20000,798.493,down,0
-0.20000,620.641,contact,0
-0.20000,563.687,contact,0
-0.20000,599.066,contact,0
-0.20000,569.342,contact,0
-0.20000,583.569,contact,0
-0.20000,651.508,contact,0
-0.20000,687.358,contact,0
-0.20000,611.398,contact,0
-0.20000,652.878,contact,0
-0.20000,621.195,contact,0
-0.20000,650.766,contact,0
-0.19316,640.888,up,0
-0.17607,583.324,up,0
-0.15897,610.697,up,0
-0.14188,654.679,up,0
-0.12479,705.626,up,0
-0.10769,817.500,up,0
-0.09060,889.847,up,0
-0.07350,719.579,up,0
-0.05641,660.664,up,0
-0.03932,633.165,up,0
-0.02222,532.255,up,0
-0.00513,631.639,up,0
0.01197,659.246,up,0
0.02906,485.842,up,0
0.04615,77.693,up,0
0.06325,26.165,up,0
0.08034,129.951,up,0
0.09402,70.235,up,0
0.11111,118.890,up,0
0.12821,297.199,up,0
0.14530,296.812,up,0
0.16239,516.351,up,0
0.17949,696.580,up,0
0.19658,645.598,up,0
0.21368,704.553,up,0
0.23077,721.784,up,0
0.24786,711.188,up,0
0.26496,718.184,up,0
0.28205,700.580,up,0
0.29915,700.104,up,0
0.31624,694.759,up,0
0.33333,665.933,up,0
0.35043,725.585,up,0
0.36752,694.386,up,0
0.38462,791.351,up,0
0.40171,727.533,up,0
0.41880,673.255,up,0
0.43590,789.717,up,0
0.45299,908.528,up,0
0.47009,833.708,up,0
0.48718,648.732,up,0
0.50427,654.249,up,0
0.52137,773.763,up,0
0.53846,733.598,up,0
0.55556,761.550,up,0
0.57265,828.298,up,0
0.58974,720.739,up,0
0.60000,647.701,air,0
0.60000,704.245,air,0
0.60000,762.424,air,0
0.60000,737.122,air,0
0.60000,651.522,air,0
0.60000,605.143,air,0
0.60000,725.631,air,0
0.60000,813.179,air,0
0.60000,799.209,air,0
0.60000,829.912,air,0
0.60000,882.884,air,0
