# freq=112.70 accel_per_hz=120.0 speed=0.2000
# win_n=141 step_z=0.01001
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=smooth-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,3620.843,222.401,1250.189
0.01000,3560.772,219.291,1275.464
0.02000,3573.076,195.922,1194.489
0.03000,3630.413,144.322,1253.254
0.04000,3549.128,168.305,1188.115
0.05000,3586.658,176.373,1257.074
0.06001,3581.159,194.804,1224.466
0.07001,3573.986,166.809,1260.970
0.08001,3581.126,158.412,1267.588
0.09002,3593.238,161.448,1270.775
0.10002,3593.662,177.255,1240.199
0.11002,3595.003,167.160,1299.583
0.12003,3595.095,230.773,1229.861
0.13003,3573.284,146.611,1221.337
0.14003,3569.938,183.294,1235.671
0.15003,3590.466,157.276,1268.758
0.16003,3591.621,158.378,1250.064
0.17004,3602.025,114.703,1244.886
0.18004,3554.489,171.570,1227.872
0.19004,3586.405,104.848,1259.834
0.20004,3569.478,150.856,1247.653
0.21004,3565.987,114.348,1266.400
0.22004,3601.277,137.104,1270.882
0.23004,3589.813,145.464,1229.779
0.24004,3558.612,217.755,1268.753
0.25005,3654.494,172.399,1289.479
0.26005,3592.886,153.709,1253.783
0.27005,3557.485,144.429,1282.989
0.28005,3595.204,172.007,1257.008
0.29005,3617.379,164.224,1297.218
0.30006,3557.088,208.760,1263.778
0.31006,3588.650,229.150,1259.567
0.32006,3617.654,193.371,1242.499
0.33006,3561.364,124.176,1240.397
0.34006,3590.131,174.191,1254.274
0.35007,3599.629,142.889,1221.336
0.36007,3604.636,221.479,1237.037
0.37007,3512.350,149.546,1218.738
0.38007,3551.015,170.624,1219.983
0.39008,3605.484,162.585,1243.653
0.40008,3555.506,153.952,1256.079
0.41008,3606.901,156.681,1272.965
0.42008,3626.193,156.534,1270.929
0.43009,3612.440,149.425,1278.220
0.44009,3548.078,203.054,1217.425
0.45009,3541.306,203.202,1222.503
0.46010,3611.264,130.726,1282.999
0.47010,3528.891,166.502,1249.313
0.48010,3605.958,141.933,1221.946
0.49011,3613.242,249.060,1228.525
0.50011,3561.633,176.074,1231.010
0.51011,3588.444,173.085,1259.257
0.52011,3628.299,224.072,1266.547
0.53012,3562.469,198.305,1255.598
0.54012,3575.248,159.388,1246.543
0.55012,3610.145,237.650,1225.745
0.56012,3567.048,186.667,1225.617
0.57013,3567.171,147.049,1265.691
0.58013,3614.665,165.689,1250.357
0.59013,3607.883,212.602,1274.954
0.60013,3557.147,185.322,1231.356
0.61014,3624.666,159.890,1256.808
0.62014,3600.000,170.543,1239.541
0.63014,3570.522,173.207,1243.937
0.64014,3561.776,180.143,1227.441
0.65015,3580.616,211.278,1239.877
0.66015,3600.010,156.085,1250.495
0.67015,3584.566,190.612,1276.289
0.68015,3591.731,147.790,1239.195
0.69016,3594.604,155.432,1231.067
0.70016,3523.849,225.721,1232.326
0.71016,3552.955,158.453,1252.178
0.72017,3616.309,151.628,1249.611
0.73017,3544.690,204.057,1235.868
0.74018,3581.836,216.058,1249.577
0.75018,3605.258,188.298,1270.434
0.76018,3583.536,216.785,1239.394
0.77018,3578.172,196.129,1233.231
0.78019,3570.776,198.153,1301.074
0.79019,3560.800,189.443,1232.320
0.80019,3587.441,211.412,1243.730
0.81020,3597.821,162.376,1293.890
0.82020,3575.997,206.736,1285.768
0.83020,3577.760,199.022,1246.212
0.84021,3563.091,146.110,1276.044
0.85021,3629.781,183.578,1254.474
0.86021,3591.107,232.498,1248.755
0.87021,3598.691,159.110,1238.101
0.88022,3603.580,197.463,1267.474
0.89022,3590.368,166.015,1245.762
0.90022,3531.466,231.891,1205.275
0.91022,3569.465,172.211,1238.168
0.92023,3577.245,178.494,1280.238
0.93023,3582.687,150.313,1256.803
0.94023,3543.907,153.314,1242.727
0.95024,3621.054,190.086,1275.299
0.96024,3595.255,174.907,1273.044
0.97024,3559.883,144.002,1263.366
0.98025,3575.790,168.615,1232.508
0.99025,3558.627,179.791,1242.294
1.00025,3575.656,201.726,1245.608
1.01025,3584.675,181.241,1292.791
1.02026,3596.534,158.812,1285.553
1.03026,3545.362,182.477,1229.613
1.04026,3558.573,141.011,1247.688
1.05026,3590.072,170.436,1264.881
1.06027,3587.822,178.667,1230.186
1.07027,3588.025,167.136,1296.513
1.08027,3608.245,131.624,1285.811
1.09028,3552.456,196.997,1236.683
1.10028,3551.732,182.010,1240.960
1.11028,3610.105,156.308,1295.706
1.12028,3527.483,166.776,1266.475
1.13029,3521.430,197.366,1264.555
1.14029,3592.183,140.751,1260.021
1.15029,3550.465,218.751,1213.920
1.16030,3574.958,151.148,1255.300
1.17030,3569.991,183.715,1261.918
1.18030,3558.949,176.046,1319.529
1.19030,3562.525,161.840,1264.804
1.20031,3551.477,266.718,1256.802
1.21031,3568.726,194.944,1248.880
1.22031,3507.193,238.579,1231.343
1.23031,3551.148,239.798,1252.694
1.24032,3569.604,179.823,1265.737
1.25032,3554.064,150.556,1253.460
1.26032,3549.994,248.091,1265.303
1.27033,3576.622,205.594,1255.269
1.28033,3578.052,175.460,1231.601
1.29033,3516.922,219.145,1228.536
1.30034,3534.928,202.065,1263.334
1.31034,3547.394,135.723,1238.905
1.32034,3576.341,130.923,1256.439
1.33034,3542.280,180.347,1204.005
1.34035,3575.197,229.533,1258.880
1.35035,3555.829,230.443,1285.828
1.36035,3548.303,233.150,1243.301
1.37036,3550.972,189.317,1236.648
1.38036,3562.523,172.943,1245.976
1.39036,3538.382,185.825,1286.762
1.40037,3537.841,198.469,1268.089
1.41037,3559.528,198.164,1259.091
1.42037,3533.227,154.850,1272.683
1.43037,3549.954,205.928,1252.876
1.44038,3546.029,147.422,1238.498
1.45038,3556.044,201.355,1257.133
1.46038,3542.099,160.182,1281.644
1.47038,3601.038,211.942,1313.941
1.48039,3537.774,198.543,1233.631
1.49039,3556.795,227.500,1265.572
1.50039,3537.002,181.336,1262.284
1.51040,3560.149,228.428,1234.823
1.52040,3567.545,186.941,1271.810
1.53040,3571.197,146.073,1276.530
1.54041,3544.704,194.451,1260.839
1.55041,3529.278,187.990,1232.007
1.56041,3541.662,176.404,1235.289
1.57042,3542.253,146.308,1268.450
1.58042,3571.610,220.355,1257.923
1.59042,3475.529,200.309,1233.902
1.60043,3537.419,160.112,1273.849
1.61043,3599.644,222.234,1288.494
1.62043,3505.010,227.712,1232.791
1.63044,3555.053,225.868,1242.764
1.64044,3561.361,223.811,1255.898
1.65044,3535.290,143.419,1241.488
1.66045,3516.966,165.463,1231.782
1.67045,3592.303,257.157,1248.268
1.68045,3559.548,181.829,1257.460
1.69046,3534.673,179.256,1256.089
1.70046,3587.541,168.677,1284.574
1.71046,3542.862,94.275,1232.268
1.72047,3519.099,207.326,1220.770
1.73047,3566.934,165.721,1209.250
1.74047,3560.176,173.829,1251.368
1.75047,3554.587,147.520,1236.732
1.76048,3571.033,183.339,1247.167
