# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=352 step_z=0.01000
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=unset,unset,unset
# trigger_kind=derivative trigger_axis=2
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,5396.017,126.454,169.544
0.01001,5361.140,155.978,188.272
0.02001,5361.104,180.457,197.331
0.03002,5379.083,173.420,192.674
0.04002,5336.227,169.424,157.432
0.05003,5318.359,188.381,133.994
0.06004,5194.281,237.895,86.298
0.07004,5174.022,282.746,69.918
