# freq=73.00 accel_per_hz=120.0 speed=0.2000
# win_n=349 step_z=0.00998
# warmup=0.800
# halt_floor=0.0620,0.5220,0.3400
# deriv_floor=0.0930,0.7830,0.5100
# drawdown_thresh=0.1000,0.2857,0.2301
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,16747.577,735.604,2247.572
0.00998,16602.735,733.666,2080.924
0.01996,16659.846,692.944,2146.940
0.02994,16682.301,694.891,2117.340
0.03992,16715.598,753.685,2135.691
0.04990,16725.057,688.769,2238.831
0.05988,16761.294,739.959,2247.938
0.06986,16747.490,735.619,2257.335
0.07984,16652.768,745.791,2176.326
0.08982,16610.180,734.159,2079.115
0.09980,16778.712,701.790,2200.445
0.10978,16873.172,675.575,2319.913
0.11976,16761.198,625.498,2233.474
0.12974,16657.440,667.934,2106.219
0.13972,16832.132,624.049,2343.503
0.14970,16790.428,629.796,2282.090
0.15968,16745.595,675.576,2248.672
0.16966,16926.302,666.515,2455.485
0.17963,16859.473,639.157,2314.124
0.18961,16807.444,645.083,2285.954
0.19959,16692.659,636.133,2235.312
0.20957,16716.814,610.778,2229.289
0.21955,16721.765,596.109,2173.556
0.22952,16699.141,655.298,2053.877
0.23950,16661.039,705.349,2060.143
0.24948,16597.869,735.053,2078.124
0.25945,16647.465,749.157,2088.572
0.26943,16766.615,698.236,2245.429
0.27941,16759.095,685.575,2231.089
0.28939,16718.716,704.947,2145.505
0.29937,16771.349,694.643,2237.689
0.30934,16843.696,769.638,2405.862
0.31932,16847.026,732.643,2406.873
0.32930,16708.567,706.787,2355.058
0.33928,16534.546,827.941,2068.751
0.34925,16644.681,826.340,2122.040
0.35923,16754.950,720.133,2314.700
0.36921,16633.140,731.747,2146.219
0.37919,16536.724,727.596,2106.242
0.38917,16578.600,736.084,2170.484
0.39915,16765.790,757.060,2337.303
0.40913,16790.014,789.707,2304.864
0.41910,16787.361,761.603,2358.860
0.42908,16819.587,743.012,2405.228
0.43906,16726.846,762.744,2243.296
0.44904,16615.905,830.271,2255.236
0.45902,16580.102,731.729,2222.294
0.46900,16751.275,725.187,2254.608
0.47897,16752.028,736.050,2278.510
0.48895,16667.902,740.820,2199.103
0.49893,16816.954,724.429,2380.105
0.50891,16891.049,650.817,2461.312
0.51889,16990.986,687.052,2569.709
0.52887,16838.167,740.005,2469.428
0.53885,16737.867,749.714,2320.614
0.54882,16685.855,793.663,2194.077
0.55880,16529.521,784.170,2019.549
0.56878,16663.509,757.513,2258.235
0.57876,16665.480,761.657,2233.374
0.58874,16606.918,805.180,2143.168
0.59872,16663.293,785.660,2229.002
0.60870,16641.316,772.819,2208.970
0.61868,16633.832,738.226,2241.562
0.62865,16718.514,761.140,2336.139
0.63863,16707.907,751.398,2291.209
0.64861,16662.489,689.202,2253.920
0.65859,16731.695,678.454,2333.597
0.66857,16652.657,749.454,2136.106
0.67855,16613.331,707.921,2067.815
0.68853,16687.291,766.534,2264.999
0.69851,16655.163,804.530,2248.161
0.70849,16472.140,780.040,1911.310
0.71847,16612.355,734.542,2070.839
0.72845,16624.676,701.893,2233.777
0.73843,16489.658,771.071,2175.716
0.74841,16524.899,748.606,2237.669
0.75839,16561.439,733.995,2187.073
