# freq=73.18 accel_per_hz=120.0 speed=0.3000
# win_n=217 step_z=0.00998
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,14434.138,518.496,1762.532
0.00998,14490.489,482.306,1772.541
0.01996,14596.754,443.340,1913.822
0.02994,14407.675,474.362,1722.128
0.03991,14341.223,499.533,1660.824
0.04989,14299.726,396.182,1707.995
0.05987,14344.187,455.101,1824.568
0.06985,14307.348,466.627,1677.145
0.07983,14335.812,458.792,1615.223
0.08981,14420.772,491.424,1726.375
0.09979,14445.582,414.443,1704.592
0.10977,14486.592,366.356,1802.902
0.11975,14538.196,342.208,1866.665
0.12973,14490.426,380.489,1872.721
0.13971,14269.784,450.582,1791.392
0.14969,14265.291,449.653,1693.919
0.15968,14363.562,418.982,1831.351
0.16966,14276.164,468.294,1605.784
0.17964,14272.852,427.604,1682.521
0.18961,14337.391,456.315,1859.302
0.19959,14414.360,408.169,1762.909
0.20957,14563.893,370.604,1936.717
0.21955,14458.499,385.448,1860.816
0.22953,14307.985,437.092,1720.892
0.23951,14361.362,479.808,1673.990
0.24949,14341.126,491.043,1607.315
0.25947,14435.150,426.733,1681.210
0.26945,14551.765,341.881,1837.462
0.27943,14424.791,427.297,1750.904
0.28941,14453.362,437.154,1799.866
0.29939,14381.990,473.771,1722.608
0.30937,14387.354,446.502,1672.603
0.31935,14596.460,361.326,2032.422
0.32933,14544.469,399.080,1884.575
0.33931,14444.958,417.968,1547.051
0.34929,14450.680,448.122,1674.646
0.35926,14550.435,455.865,1885.239
0.36924,14466.124,400.673,1746.378
0.37922,14374.430,407.340,1621.102
0.38920,14380.633,477.208,1781.018
0.39918,14470.366,451.648,1875.678
0.40916,14476.086,384.915,1827.202
0.41913,14585.131,390.423,1843.228
0.42911,14609.931,353.769,1876.875
0.43909,14598.968,366.195,1927.307
