# freq=54.70 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=0.17750 reps=1
# x=80.000 y=30.000
# air_amp=1587.685 contact_amp=253.684
# note=textured-PEI-side
z,amp,tag,rep
0.32750,771.962,warm,-1
0.32750,1537.755,warm,-1
0.32750,1594.263,warm,-1
0.32750,1571.402,warm,-1
0.32750,1564.252,warm,-1
0.32750,1545.590,warm,-1
0.32750,1549.941,warm,-1
0.32750,1563.229,warm,-1
0.32750,1513.100,warm,-1
0.32750,1508.010,warm,-1
0.32750,1546.155,warm,-1
0.30932,1533.394,down,0
0.27295,1550.784,down,0
0.23659,1578.577,down,0
0.20023,1578.963,down,0
0.16386,1359.693,down,0
0.12750,793.359,down,0
0.09114,316.650,down,0
0.05477,201.091,down,0
0.01841,256.088,down,0
-0.01795,263.194,down,0
-0.05432,290.989,down,0
-0.07250,327.919,contact,0
-0.07250,312.097,contact,0
-0.07250,294.470,contact,0
-0.07250,326.514,contact,0
-0.07250,332.788,contact,0
-0.07250,307.544,contact,0
-0.03614,309.579,up,0
0.00023,295.287,up,0
0.03659,253.684,up,0
0.07295,156.289,up,0
0.10932,289.782,up,0
0.14568,905.367,up,0
0.18205,1483.589,up,0
0.21841,1576.511,up,0
0.25477,1561.228,up,0
0.29114,1543.280,up,0
0.32750,1534.841,up,0
0.32750,1551.014,air,0
0.32750,1573.164,air,0
0.32750,1602.206,air,0
0.32750,1630.093,air,0
# outcome=confirmed drop=0.8402 thresh=0.2000 step_snr=3.62 via=ratio
